date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi
2/28/2020,01077,29.12,n/a**,29.14,33.82,n/a**,33.87,1990.00,n/a**,1993,27.82,n/a**,27.73,16.74,n/a**,16.81,6.99,n/a**,7.04,6.68,n/a**,6.69,3.08,n/a**,3.12,6.49,n/a**,6.47,11.7,n/a**,10.75
2/28/2020,01079,33.39,n/a*,33.01,43.54,n/a*,42.66,1806.00,n/a*,1803,30.73,n/a*,30.1,24,n/a*,n/a*,10.13,n/a*,9.78,4.67,n/a*,4.92,4.49,n/a*,4.76,6.83,n/a*,6.76,n/a*,n/a*,n/a*
2/28/2020,01081,29.02,n/a*,27.42,32.6,n/a*,31,1856.00,n/a*,2137,33.05,n/a*,33.88,18.58,n/a*,16.74,6.88,n/a*,7.41,6.81,n/a*,6.65,4,n/a*,4.68,8.08,n/a*,7.64,15.34,n/a*,15.6
2/28/2020,01083,27.1,n/a**,29.63,32.44,n/a**,35.27,1642.00,n/a**,1533,28.4,n/a**,29.67,16.14,n/a**,15.65,4.57,n/a**,5.28,6.47,n/a**,6.61,3.26,n/a**,4.49,6.88,n/a**,6.44,16.5,n/a**,15.07
2/28/2020,01085,42.48,48.6,n/a*,49.02,53.27,n/a*,2001.00,2173.00,n/a*,32.85,n/a*,n/a*,n/a*,n/a*,n/a*,11.32,n/a*,n/a*,6.06,n/a*,n/a*,n/a*,n/a*,n/a*,11.11,11.21,n/a*,n/a*,n/a*,n/a*
2/28/2020,01087,45.61,46.22,46.77,50.68,54.22,41.94,1681.00,1604.00,n/a*,46.3,47.71,n/a*,22.86,23.64,n/a*,20.19,22.67,n/a*,9.57,9.3,n/a*,n/a*,n/a*,n/a*,15.2,13.78,19.35,n/a*,n/a*,n/a*
2/28/2020,01089,27.03,51.75,20.96,31.89,59.58,25.44,2057.00,1992.00,1864,30.09,45.77,27.98,18.16,36.2,14.06,5.95,13.7,4.98,5.36,10.98,4.25,3.03,6.25,2.47,7.01,11.61,6.04,19.24,20.48,17.83
2/28/2020,01091,35.22,n/a*,n/a*,40.88,n/a*,n/a*,2055.00,n/a*,n/a*,40.93,n/a*,n/a*,24.53,n/a*,n/a*,7.91,n/a*,n/a*,10.39,n/a*,n/a*,n/a*,n/a*,n/a*,6.6,n/a*,n/a*,n/a*,n/a*,n/a*
2/28/2020,01093,30.43,n/a**,30.43,40.49,n/a**,40.49,1575.00,n/a**,1575,33.03,n/a**,33.03,n/a*,n/a**,n/a*,7.04,n/a**,7.04,6.56,n/a**,6.56,3.08,n/a**,3.08,5.37,n/a**,5.37,n/a*,n/a**,n/a*
2/28/2020,01095,33.43,n/a**,33.45,38.29,n/a**,38.32,1661.00,n/a**,1661,28.49,n/a**,28.48,14.62,n/a**,14.62,7.74,n/a**,7.75,7.66,n/a**,7.68,4.12,n/a**,4.14,5.84,n/a**,5.84,15.48,n/a**,15.48
