date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi,median_credit_score_all,median_credit_score_coc,median_credit_score_whi
2/1/2020,SD,15.9,46.3,14.62,17.03,48.04,15.65,2201,2546,2201,26.7,37.38,26.45,10.36,22.41,10.1,4.46,10.81,4.39,2.89,16.55,2.52,2.05,n/a*,2.01,3.44,4.78,3.42,14.75,n/a*,14.85,725,593,729
2/1/2020,TN,29.98,54.09,26.64,35.73,59.91,32.52,1947,2144,1916,30.37,43.87,28.84,18.99,28.68,17.04,6.3,13.87,5.53,5.23,10.29,4.64,3.33,8.49,2.96,5.42,10.09,4.69,15.1,21.61,13.09,675,574,690
2/1/2020,TX,32.03,40.12,23.65,40.96,49.38,32.37,2102,2086,2109,33.07,37.13,29.49,17.54,20.68,14.23,6.95,9.08,5.15,6.65,9.05,4.37,4.02,5.8,2.73,5.65,6.95,4.23,10.1,10.37,9.36,666,637,696
2/1/2020,UT,19.3,36.75,17.95,21.91,41.14,20.59,1891,1693,1920,28.42,35.37,27.86,12.99,25.53,12.21,4.24,7.33,4.06,2.95,5.46,2.8,1.92,2.96,1.89,4.12,6.37,3.91,11.23,14.06,10.64,712,649,717
2/1/2020,VA,24.21,36.1,20.93,28.22,41.22,24.9,1776,1861,1693,29.41,36.02,27.58,14.19,20.12,11.99,5.35,8.4,4.52,3.55,5.2,3.02,2.73,3.78,2.53,4.2,5.42,3.88,8.05,9.56,7.69,706,656,722
2/1/2020,VT,15.81,n/a*,15.76,18.84,n/a*,18.8,1702,n/a*,1702,26.16,n/a*,26.21,10.42,n/a*,10.51,4.47,n/a*,4.46,2.43,n/a*,2.39,2.43,n/a*,2.45,0.64,n/a*,0.65,15.15,n/a*,15.15,727,n/a*,728
2/1/2020,WA,16.66,22.77,15.21,18.69,24.45,17.22,1794,1809,1761,27.25,30.35,26.84,12.62,15.67,11.81,4.1,6.32,3.78,2.48,3.38,2.26,1.62,2.25,1.52,5.45,7.5,4.87,9.31,10.45,8.88,725,690,731
2/1/2020,WI,19.41,52.73,16.43,23.54,58.14,20.44,1854,1853,1853,24.8,40.14,24.04,13.09,29.26,11.31,3.83,11.19,3.44,2.95,9.46,2.53,1.91,4,1.82,4.14,10.61,3.59,9.53,10.27,9.33,729,580,739
2/1/2020,WV,31.6,n/a*,31.46,40.45,n/a*,40.31,1643,n/a*,1634,30.93,n/a*,30.79,20.62,n/a*,20.51,6.98,n/a*,6.91,4.17,n/a*,4.14,4.03,n/a*,4,3.77,n/a*,3.77,4.92,n/a*,4.93,671,n/a*,672
2/1/2020,WY,22.84,71.7,22.48,27.17,83.02,26.77,2478,n/a*,2496,28.53,n/a*,28.47,12.87,n/a*,12.9,4.51,n/a*,4.44,2.68,n/a*,2.59,2.1,n/a*,2.11,4.2,3.77,4.16,12.43,n/a*,12.89,705,524,707
